Start Time,GPS Time,End Time,Lattitude,Longitude,Altitude,Train Speed,Prev. Lat,Prev. Long,Delay,Download Speed,Upload Speed,Ping
1746255925.741369,1746255925.8257847,1746255929.3145623,49.8973464,18.3530023,0,30,49.8976033,18.3534784,0,5.42,0.0,555.02
1746255934.8686125,1746255934.9246979,1746255938.873601,49.8968426,18.3520206,0,34,49.8971019,18.3525293,0,4.85,0.0,671.83
1746255944.4289095,1746255944.5055578,1746255947.4755092,49.896242,18.3509096,0,40,49.8965516,18.3514802,0,6.86,0.0,652.55
1746255953.0371046,1746255953.1133049,1746255956.8950255,49.8959225,18.3503299,0,40,49.896242,18.3509096,0,4.85,0.0,507.06
1746255962.4827776,1746255962.5546625,1746255966.043342,49.8952109,18.3489932,0,42,49.8955444,18.3496015,0,5.29,0.0,485.35
1746255971.605992,1746255971.684604,1746255974.9979532,49.8945863,18.3477823,0,39,49.894903,18.3483761,0,5.8,0.0,572.87
1746255980.5691447,1746255980.6137133,1746255983.0956264,49.8939588,18.3465998,0,39,49.894285,18.3471691,0,7.82,0.0,450.04
1746255988.661903,1746255988.743491,1746255991.318781,49.893635,18.3460061,0,39,49.8939588,18.3465998,0,6.97,0.0,293.68
1746255996.8798447,1746255996.9575021,1746256000.507142,49.8930137,18.3448188,0,44,49.8933483,18.345453,0,5.2,0.0,491.38
1746256006.0533102,1746256006.1355011,1746256009.7173443,49.8922261,18.3433442,0,50,49.892626,18.3441058,0,5.21,0.0,528.73
1746256015.2684512,1746256015.3406627,1746256019.7319417,49.8913334,18.3416475,0,60,49.8917978,18.3425374,0,4.13,0.0,539.8
1746256025.2381816,1746256025.3167894,1746256029.6027758,49.8903076,18.339721,0,68,49.890833,18.3407122,0,4.31,0.0,599.05
1746256035.162127,1746256035.2120252,1746256039.2311985,49.8891612,18.3375772,0,72,49.889762,18.3386847,0,4.56,0.0,534.74
1746256044.787074,1746256044.8666472,1746256050.2885952,49.8884907,18.3362891,0,71,49.8891612,18.3375772,0,3.23,0.0,505.3
1746256055.853513,1746256055.9262142,1746256059.6099002,49.8866334,18.3328297,0,81,49.8872608,18.3340185,0,5.0,0.0,505.45
1746256065.2048628,1746256065.2905369,1746256069.2599015,49.8859788,18.3315654,0,83,49.8866334,18.3328297,0,4.96,0.0,767.67
1746256074.8195796,1746256074.8748963,1746256078.384048,49.8845949,18.3289558,0,89,49.8853229,18.3302888,0,5.11,0.0,399.82
1746256083.891219,1746256083.9642448,1746256087.8791957,49.8831298,18.3261861,0,95,49.8838881,18.3275853,0,4.69,0.0,525.68
1746256093.467777,1746256093.5273046,1746256097.4868233,49.881601,18.3232902,0,98,49.8823698,18.3247716,0,4.82,0.0,662.85
1746256103.0401945,1746256103.1185923,1746256106.6401012,49.8807876,18.3217715,0,102,49.881601,18.3232902,0,5.12,0.0,418.43
1746256112.2042532,1746256112.2782292,1746256117.157679,49.8807876,18.3217715,0,102,49.881601,18.3232902,0,3.61,0.0,474.8
1746256122.7100625,1746256122.7858505,1746256127.908532,49.8807876,18.3217715,0,102,49.881601,18.3232902,0,3.7,0.0,822.14
1746256133.4592597,1746256133.535103,1746256138.095114,49.8807876,18.3217715,0,102,49.881601,18.3232902,0,3.93,0.0,518.04
1746256143.653285,1746256143.7298772,1746256147.9796367,49.8807876,18.3217715,0,102,49.881601,18.3232902,0,4.23,0.0,494.69
